,AAPL,MSFT,JPM,JNJ,XOM,BAC,WFC,WMT,UNH,CVX,PFE,ADBE,MCD,MDT,MMM,HON,GE,ABT,MO,UNP,TXN,LLY,KO,PG,PEP,VZ,BA,GS
AAPL,,0.0,-0.26768760400206304,-4.180015360262445,0.5163747648226149,9.727316240056751,0.9686082911379188,1.479158282317428,0.0,0.8464270685491329,3.0467946241304844,0.0,-2.926418272373624,-25.591329122446638,0.0,-6.506664151332103,2.2764349565945565,-63.0719013592857,-5.377561112792023,0.5781302019070509,-10.233020178051774,0.0,1.5579505952096895,-5.452312911651234,-4.6735297671447995,-20.357105117881957,2.902938540908025,-17.87094164821822
MSFT,0.0,,2.2432087474490103,3.753053918543884,0.0,0.9663660318388239,-2.8094014007021997,0.0,7.026345990178513,0.6255079757783335,-0.8956698195496315,5.182059707244456,3.9845197504322627,-2.4259689915175002,-6.480786420075532,-2.9652344818541394,7.983239769544763,0.6535741768452752,-0.3918935775198804,6.190019193359092,-0.8663513471185595,3.340087950800907,-0.31845337275589713,2.278086533571468,-0.3985397368752217,0.0,0.2190508017342765,1.3277484046402463
JPM,-0.26768760400206304,2.2432087474490103,,0.0,1.6545325607230836,-1.8446574908070303,0.08153842947761802,0.6008831719390031,4.265827730656383,1.3399750271387916,0.34707847093671873,0.5746773613415321,0.0,0.0,-9.567038652610137,0.9521976923379967,2.8887746449601153,0.5690501687882232,0.0869094650195592,1.5293504118718921,1.9616708192068089,3.2967632484971574,0.8792824925909883,0.2261912864861273,0.8591516072837351,-7.492785838357939,3.1651964960198455,1.113210018720224
JNJ,-4.180015360262445,3.753053918543884,0.0,,-4.12501320115436,2.766108147051071,-2.2613304744630085,6.983498750768206,7.458783264397937,3.447806083116788,2.0746359557787173,1.1016396817568932,-2.571199891717498,-2.992860658213658,0.8448963096352315,4.105529846800501,3.4155894380916862,0.0,-3.9561966917004128,1.25794368687707,2.969006970291659,3.4257077939061844,5.334533597794575,7.791540245550635,2.425108248282882,1.243601995796297,-6.363969659041949,2.5174305909858674
XOM,0.5163747648226149,0.0,1.6545325607230836,-4.12501320115436,,0.5888283307581474,0.0,2.352811712547833,1.619450648728531,-0.11437820683888589,4.465464348368471,4.649663228669596,9.109056736965911,0.0,2.2351335514591995,0.7416774679574729,-2.521718334895276,-3.6222240023154626,2.20205968243031,0.0,1.7264768222291877,3.2704657807687596,1.7847203631928892,1.0051437265986465,-1.7738543113594147,2.9172979782295556,-34.510045358973485,-2.4771953266743196
BAC,9.727316240056751,0.9663660318388239,-1.8446574908070303,2.766108147051071,0.5888283307581474,,-0.18049635910389483,-0.6199642870326691,-12.29911255437252,2.4267449200683444,0.6495698912913301,0.0,3.4117627582118644,-1.5211227502727809,-21.442012159662738,-7.003040314292576,1.4135921975851797,0.792537668573928,0.5329144620576258,16.44464255537423,-0.042669367904117905,-0.20492583136707054,0.2315720188603123,1.549937503340594,-5.715208050606943,0.8791268182668439,10.771313055692065,0.14034936267253784
WFC,0.9686082911379188,-2.8094014007021997,0.08153842947761802,-2.2613304744630085,0.0,-0.18049635910389483,,0.0,7.391569695069016,0.5011114413353255,0.7955145351477135,0.9566287008249219,2.365588564805904,-6.136337935606683,-4.534269063310791,-0.4980889246142084,1.1513942386702638,0.8163152646398473,0.0,1.1377465384567884,5.039686725629807,1.3469335141229806,1.107488208179845,1.2918910000763688,-1.4510251021962972,3.43000456431821,11.221332096174415,4.721160175594463
WMT,1.479158282317428,0.0,0.6008831719390031,6.983498750768206,2.352811712547833,-0.6199642870326691,0.0,,0.0,1.5281934550392862,-5.319979522396196,2.730781807426183,3.1936544551998622,0.0,-2.6974692941409444,0.47866353169398224,0.7678727387248472,-4.675740113906045,-7.0903951019710405,-2.1978641004958988,0.0,0.0,-0.0952505459269446,1.9462052198172444,-0.705101849310168,-6.8487875386881,0.6340058049860673,0.0
UNH,0.0,7.026345990178513,4.265827730656383,7.458783264397937,1.619450648728531,-12.29911255437252,7.391569695069016,0.0,,32.122795634262715,8.87875701960813,16.034690150316493,0.3138920393146236,4.745631557268368,5.084186319745683,8.952659252127248,-0.09821915464416975,0.0,-13.617137587619766,4.120014392413054,1.5165237139405576,3.432110315853379,-2.9241649491563066,-21.199354197799423,1.8091320846718304,-12.559138277028666,-10.556897882081785,-20.04509643815848
CVX,0.8464270685491329,0.6255079757783335,1.3399750271387916,3.447806083116788,-0.11437820683888589,2.4267449200683444,0.5011114413353255,1.5281934550392862,32.122795634262715,,-8.583465516616442,1.8491959501888289,5.352215543791672,0.0,-3.983825632127136,0.0,2.078847822077492,-0.48794863464353,1.9031893847646018,2.216583104288034,0.0,0.0,2.2643112612582144,3.3398086687308535,-2.1859017280816175,4.987073853254799,0.0,1.9600304803772204
