,TotalTrade,Winning Trade,Success Trade, Closed Trade - time due, Closed Trade - Halflife, Closed Trade - lower corr, Closed Trade - stop loss
2011-01-10,12,9,9,3,0,0,0
2011-04-10,11,9,10,0,0,1,0
2011-07-10,7,5,5,2,0,0,0
2011-10-10,6,5,5,0,1,0,0
2012-01-10,12,8,8,2,0,2,0
2012-04-10,12,12,12,0,0,0,0
2012-07-10,11,10,9,1,1,0,0
2012-10-10,7,6,6,1,0,0,0
2013-01-10,9,4,5,3,0,1,0
2013-04-10,1,1,1,0,0,0,0
2013-07-10,4,3,4,0,0,0,0
2013-10-10,6,4,3,0,0,3,0
2014-01-10,11,8,10,1,0,0,0
2014-04-10,7,5,4,3,0,0,0
2014-07-10,0,0,0,0,0,0,0
2014-10-10,29,25,27,2,0,0,0
2015-01-10,14,11,11,1,0,2,0
2015-04-10,17,16,16,0,0,1,0
2015-07-10,10,8,10,0,0,0,0
2015-10-10,50,45,38,11,0,1,0
2016-01-10,42,32,32,7,3,0,0
2016-04-10,23,18,19,4,0,0,0
2016-07-10,7,7,7,0,0,0,0
2016-10-10,8,6,7,1,0,0,0
2017-01-10,31,21,23,3,0,5,0
2017-04-10,2,1,1,1,0,0,0
2017-07-10,2,2,1,0,0,1,0
2017-10-10,2,2,2,0,0,0,0
2018-01-10,0,0,0,0,0,0,0
2018-04-10,7,6,7,0,0,0,0
2018-07-10,9,7,7,1,0,1,0
2018-10-10,9,6,7,1,0,1,0
2019-01-10,6,4,5,1,0,0,0
2019-04-10,27,20,19,2,1,5,0
2019-07-10,15,14,14,1,0,0,0
2019-10-10,6,6,6,0,0,0,0
